Team,Stadium,Web Site,League,Last Word Series Win
Baltimore Orioles,Oriole Park,orioles.com,AL,1983
Boston Red Sox,Fenway Park,redsox.com,AL,2007
Chicago White Sox,U.S. Cellular Field,whitesox.com,AL,2005
Cleveland Indians,Progressive Field,indians.com,AL,1948
Detroit Tigers,Comerica Park,tigers.com,AL,1984
Houston Astros,Minute Maid Park,astros.com,AL,-
Kansas City Royals,Kauffman Stadium,royals.com,AL,1985
Los Angeles Angels,Angel Stadium,angels.com,AL,2002
Minnesota Twins,Target Field,twinsbaseball.com,AL,1991
New York Yankees,Yankee Stadium,yankees.com,AL,2009
Oakland Athletics,O.co Coliseum,oaklandathletics.com,AL,1989
Seattle Mariners,Safeco Field,Mariners.com,AL,-
Tampa Bay Rays,Tropicana Field,raysbaseball.com,AL,-
Texas Rangers,Rangers Ballpark in Arlington,texasrangers.com,AL,-
Toronto Blue Jays,Rogers Centre,bluejays.com,AL,1993
Arizona Diamondbacks,Chase Field,dbacks.com,NL,2001
Atlanta Braves,Turner Field,braves.com,NL,1995
Chicago Cubs,Wrigley Field,cubs.com,NL,1908
Cincinnati Reds,Great American Ball Park,reds.com,NL,1990
Colorado Rockies,Coors Field,Rockies.com,NL,-
Los Angeles Dodgers,Dodger Stadium,dodgers.com,NL,1988
Miami Marlins,Marlins Park,marlins.com,NL,2003
Milwaukee Brewers,Miller Park,brewers.com,NL,-
New York Mets,Citi Field,mets.com,NL,1986
Philadelphia Phillies,Citizens Bank Park,phillies.com,NL,2008
Pittsburgh Pirates,PNC Park,pirates.com,NL,1979
San Diego Padres,PETCO Park,padres.com,NL,-
San Francisco Giants,AT&T Park,SFGiants.com,NL,2012
St. Louis Cardinals,Busch Stadium,cardinals.com,NL,2011
Washington Nationals,Nationals Park,nationals.com,NL,-
