Team,Stadium,Web Site,League,Last Word Series Win
Arizona Diamondbacks,Chase Field,dbacks.com,NL,2001
Atlanta Braves,Turner Field,braves.com,NL,1995
Chicago Cubs,Wrigley Field,cubs.com,NL,1908
Cincinnati Reds,Great American Ball Park,reds.com,NL,1990
Colorado Rockies,Coors Field,Rockies.com,NL,-
Los Angeles Dodgers,Dodger Stadium,dodgers.com,NL,1988
Miami Marlins,Marlins Park,marlins.com,NL,2003
Milwaukee Brewers,Miller Park,brewers.com,NL,-
New York Mets,Citi Field,mets.com,NL,1986
Philadelphia Phillies,Citizens Bank Park,phillies.com,NL,2008
Pittsburgh Pirates,PNC Park,pirates.com,NL,1979
San Diego Padres,PETCO Park,padres.com,NL,-
San Francisco Giants,AT&T Park,SFGiants.com,NL,2012
St. Louis Cardinals,Busch Stadium,cardinals.com,NL,2011
Washington Nationals,Nationals Park,nationals.com,NL,-
